2020-07-22 16:50:51 _internal.py [line:113] INFO:  * Restarting with stat
2020-07-22 16:50:53 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '180.114.165.149', 'port': '8118', 'protocol_type': 0, 'anonymous_type': 2, 'idle': 1.52, 'area': '江苏省无锡市', 'score': 50, 'disable_domains': []}
2020-07-22 16:50:55 _internal.py [line:113] WARNING:  * Debugger is active!
2020-07-22 16:50:55 _internal.py [line:113] INFO:  * Debugger PIN: 174-329-809
2020-07-22 16:50:56 _internal.py [line:113] INFO:  * Running on http://0.0.0.0:8000/ (Press CTRL+C to quit)
2020-07-22 16:50:56 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '180.114.165.149', 'port': '8118', 'protocol_type': 0, 'anonymous_type': 2, 'idle': 0.63, 'area': '江苏省无锡市', 'score': 50, 'disable_domains': []}
2020-07-22 16:50:56 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '103.139.103.33', 'port': '3129', 'protocol_type': 2, 'anonymous_type': 0, 'idle': 3.36, 'area': 'SSL高匿_亚太地区', 'score': 50, 'disable_domains': []}
2020-07-22 16:50:57 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.15.17.136', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_欧盟', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:01 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '217.165.93.149', 'port': '53281', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '阿联酋', 'score': 43, 'disable_domains': []}
2020-07-22 16:51:01 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '103.151.47.244', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_亚太地区', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:01 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.15.16.205', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:01 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '60.205.188.24', 'port': '3128', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '北京市大兴区 阿里云计算有限公司 阿里云', 'score': 49, 'disable_domains': []}
2020-07-22 16:51:01 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '51.158.22.114', 'port': '5836', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '英国', 'score': 46, 'disable_domains': []}
